series_release,series_code,series_description,geoAreaCode,X,Y,ISO3CD,geoAreaName,sliceId,Units,Units_description,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,last_5_years_mean,latest_year,latest_value,latest_source,latest_nature,FID
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),562,9.400167877,17.42143036,NER,Niger,1,PERCENT,Percentage,87.69,87.69,87.8,87.03,87.05,87.6,87.48,86.22,86.11,83.3,80.71,77.27,72.75,78.73,78.14,78.94,77.166,2015,78.94,"Source: World Energy Balances, IEA (2017)",E,36
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),566,8.097363256,9.585789025,NGA,Nigeria,1,PERCENT,Percentage,86.19,84.6,84.51,82.96,83.97,84.07,86.14,87.38,86.35,88.83,86.78,86.15,86.45,86.78,87.3,86.64,86.664,2015,86.64,"Source: World Energy Balances, IEA (2017)",E,37
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),570,-169.8601693,-19.05000475,NIU,Niue,1,PERCENT,Percentage,0.6,0.58,0.63,0.71,0.79,0.83,24.01,27.81,18.21,25.25,26.7,24.99,24.2,23.6,23.14,22.37,23.66,2015,22.37,"Source: Energy Balances, UN Statistics Division (2017)",E,38
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),574,167.9515548,-29.03230018,NFK,Norfolk Island,1,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,39
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),578,11.47846389,61.34311134,NOR,Norway,1,PERCENT,Percentage,60.19,59.61,59.49,56.26,56.87,58.59,57.06,57.39,58.49,56.77,56.42,56.53,58.28,57.73,57.2,57.77,57.502,2015,57.77,"Source: World Energy Balances, IEA (2017)",E,40
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),580,145.7582114,15.19099517,MNP,Northern Mariana Islands,1,PERCENT,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,"Source: Energy Balances, UN Statistics Division (2017)",E,41
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),581,-162.4343752,5.874443968,UMI,US Minor Outlying Islands,1,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,42
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),583,158.225216,6.880670092,FSM,"Micronesia, Federated States of",1,PERCENT,Percentage,1.19,0.8,1.02,1.02,1.04,1.1,1.25,1.21,1.35,1.15,1.5,1.43,1.32,1.25,1.16,1.2,1.272,2015,1.2,"Source: Energy Balances, UN Statistics Division (2017)",E,43
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),584,171.0839119,7.110213497,MHL,Marshall Islands,1,PERCENT,Percentage,19.57,19.08,18.63,18.56,18.4,18.38,16.96,15.21,14.78,13.96,13.31,12.06,12.01,12.07,12.02,11.16,11.864,2015,11.16,"Source: Energy Balances, UN Statistics Division (2017)",E,44
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),585,134.5733878,7.502307591,PLW,Palau,1,PERCENT,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,"Source: Energy Balances, UN Statistics Division (2017)",E,45
